hero_id_1,hero_id_2,score
103,128,-0.09940007725456967
19,50,-0.0992898758824951
27,42,-0.09927887725088463
65,105,-0.09915820104653472
55,104,-0.09901579557516615
46,80,-0.09874440954628133
5,126,-0.09867215817036479
19,135,-0.09854273084144771
69,88,-0.09831210932291679
19,102,-0.09804912222057882
9,17,-0.09789691387685973
32,76,-0.09778186319146387
98,126,-0.09755973237257642
52,94,-0.09743924281390759
10,121,-0.09738935376225932
99,112,-0.09738052073126124
5,102,-0.09716911568898251
43,123,-0.097129226504442
30,78,-0.09688004230132746
17,20,-0.09663133284825354
110,136,-0.09644732117029708
72,135,-0.09631007825942439
43,51,-0.096268929494228
91,136,-0.09583326268522163
25,67,-0.09551665033843182
38,45,-0.09543692771940421
13,29,-0.09527211342800967
82,88,-0.09515321176713587
64,91,-0.09508073854220561
23,95,-0.09504266823484825
33,95,-0.09481457497052354
74,103,-0.09474148871863491
2,102,-0.09444371174402044
12,96,-0.0943768823808111
55,71,-0.09437390644433669
34,135,-0.09423749330446574
38,138,-0.0940555439730843
76,88,-0.09399041295250021
99,102,-0.0939867225397018
38,51,-0.09393476714041765
38,81,-0.09371610684135123
43,59,-0.0936365927652194
99,104,-0.09360054516507582
30,42,-0.0934000473413954
79,135,-0.0932071857826911
53,94,-0.09277196202154409
11,42,-0.0927299913451482
69,81,-0.0926021874210492
3,48,-0.0923674379315148
13,33,-0.09228776401709415
48,51,-0.09201876976031437
53,103,-0.0919771679873681
33,49,-0.09192288027120682
17,45,-0.09181710565255996
30,103,-0.09180831793035449
29,102,-0.09180609788434024
69,102,-0.09177664763947951
68,82,-0.09139301946716949
16,126,-0.09137514606562791
4,87,-0.09137174144177523
28,126,-0.09132033347151763
46,82,-0.09112789955212952
58,129,-0.09103318514965658
72,79,-0.09095683240027613
51,58,-0.09080495533303867
44,135,-0.09078197033061058
19,42,-0.09059390538278916
13,88,-0.09057227485946934
75,102,-0.0905601904496876
80,85,-0.09047604189317959
49,126,-0.09019363210565567
41,94,-0.09017686053408375
44,81,-0.08969522659196405
56,71,-0.08966533458585829
29,30,-0.08958331095732969
13,77,-0.08952690117672624
43,52,-0.08946762636119604
25,31,-0.08946594472796082
109,113,-0.08916671835804374
51,88,-0.08912321101682608
5,88,-0.0890960625479239
46,52,-0.08908434017204381
34,50,-0.08900219351648375
59,102,-0.08874875266256865
4,17,-0.08873233062879915
10,31,-0.08869365556325587
38,95,-0.08852279982514322
47,104,-0.088382143533555
70,102,-0.08833150562999587
32,95,-0.0881989113382452
47,94,-0.0881715292961407
16,82,-0.08799731462184757
41,82,-0.08789489992787741
15,112,-0.08758763891431487
47,110,-0.08753141786790303
34,42,-0.08699726007577019
34,45,-0.08668845912032414
5,111,-0.08629320724168948
39,135,-0.08617070373845143
48,76,-0.08611233694828557
46,49,-0.08608260547188062
46,75,-0.08592500519375229
67,95,-0.08589912816873818
62,104,-0.08563256105197675
53,113,-0.08541477009394866
63,88,-0.08534544823670243
38,71,-0.08531042416979823
25,68,-0.08528663974036016
38,102,-0.08525005941927394
42,112,-0.08501046774051224
9,60,-0.08494310422678564
9,111,-0.08488144734013209
10,42,-0.08487985277646998
13,113,-0.08464435200946469
49,82,-0.08431933063181501
38,48,-0.08417303969985118
44,75,-0.08414735053030081
58,68,-0.08410656249797138
95,96,-0.08407827973592985
23,73,-0.08401168941557524
19,51,-0.08398454219243484
25,42,-0.08395479851721283
56,121,-0.0834247090930687
18,95,-0.08328808396081894
23,54,-0.0831951164641605
3,42,-0.0831560763313613
75,113,-0.08314863169680042
9,95,-0.0830383009353372
74,82,-0.08296290151879393
47,126,-0.0828814188191212
27,56,-0.08286870127837093
25,48,-0.08281436772532763
21,33,-0.0827073992208639
54,126,-0.08268738505606466
19,28,-0.0826716807468107
58,96,-0.08262913007607103
119,126,-0.08260324064871305
38,75,-0.08254864575479509
34,104,-0.08239886658449153
32,42,-0.08205775014679018
126,128,-0.08199355058338409
49,77,-0.0819119006133715
38,59,-0.08182039198200225
11,95,-0.08180597422359304
51,102,-0.08173119515462168
12,55,-0.08163098809758018
1,103,-0.08158570861635689
83,102,-0.08140428845773734
40,42,-0.08121621868111961
83,126,-0.08101650355850926
45,137,-0.08098707559164664
23,60,-0.08092458856792983
67,80,-0.08082977214300802
32,52,-0.08076708306924524
48,96,-0.08076468774358009
10,14,-0.08062047830963859
38,70,-0.08048924676910707
5,50,-0.0804365457027445
33,51,-0.08039771211214025
101,102,-0.08036456931427849
77,94,-0.08031517195206628
36,68,-0.08030620578704656
3,102,-0.08029667935760454
56,102,-0.0801729634917937
38,85,-0.07992131961043447
90,96,-0.07970981053365678
44,96,-0.07946931709530808
5,75,-0.07936892930508699
38,47,-0.07931663039223341
47,113,-0.07918733440749748
47,81,-0.07913490687407909
