hero_id_1,hero_id_2,score
97,108,-0.09267078746392815
17,58,-0.0924946877895042
29,91,-0.09244172964968966
11,25,-0.09230945337257784
98,110,-0.09228777305132313
26,120,-0.09210142306196656
5,38,-0.09187665583315152
54,100,-0.09184146434218504
5,111,-0.0918079131240424
45,69,-0.09179413147891519
60,67,-0.09177089249859727
10,93,-0.09171313854042112
5,119,-0.0916767133826123
10,126,-0.09138893284375799
4,11,-0.09127804564809483
53,137,-0.09116094919936407
27,121,-0.09084091535372718
19,25,-0.09047189368740705
13,69,-0.09004971539866796
53,106,-0.08969818835971277
99,113,-0.08950554799958493
51,93,-0.0894841997173152
3,23,-0.08948170601761157
10,64,-0.08947197292425496
69,71,-0.0889469142986673
19,56,-0.08864668580871571
107,135,-0.08858222799332066
51,126,-0.08847955722691869
3,29,-0.08838621046762307
36,65,-0.08838422086569914
50,105,-0.08797973608700693
90,101,-0.08796877639901879
69,86,-0.08796464727889353
58,108,-0.08781101248853057
16,33,-0.08775113398011092
17,23,-0.08731356049491529
21,89,-0.08711936311623036
28,82,-0.08702269771840643
21,114,-0.08688773045847292
10,18,-0.08671988721303941
9,88,-0.08626442435022047
11,114,-0.08598570218853496
97,131,-0.08580649585646011
55,64,-0.08560629819406718
6,54,-0.08560192071893169
33,99,-0.08549985356933998
22,100,-0.08544089035826402
25,90,-0.08540423337516428
10,23,-0.08535763128827223
32,73,-0.08531671630039889
15,110,-0.08526266322946646
40,119,-0.08520438451781004
120,136,-0.08495567537310916
18,137,-0.08468216615952823
43,114,-0.08457895991304826
23,105,-0.08454819099462363
5,69,-0.0844446738033961
19,119,-0.08440516307555018
29,106,-0.08440027373262943
16,112,-0.08404381560860591
100,135,-0.08403311672968317
11,32,-0.08388325944726921
90,104,-0.08378051943125042
34,96,-0.08372385165039242
46,58,-0.08368574371745235
34,85,-0.08368557971966034
40,91,-0.08364295701628233
13,114,-0.08358050190542421
47,136,-0.0834152216386605
108,123,-0.08314869877209813
4,64,-0.08297539785604496
15,114,-0.08282888949959216
4,40,-0.08281861583374528
12,100,-0.082760132488018
84,120,-0.08248584231883022
89,97,-0.0824820229084664
67,91,-0.08211618562332546
23,71,-0.08206074839819438
44,73,-0.08199673352974945
10,110,-0.08196259131934197
95,100,-0.08194916830565024
46,77,-0.08184591748999581
90,93,-0.08170756062742113
23,25,-0.08147249666632689
61,97,-0.08142369603543764
56,76,-0.08118186825805501
2,23,-0.08116415233113983
69,88,-0.08101961920433975
23,64,-0.08098702080662962
34,109,-0.08094619702319744
79,93,-0.08089394034593411
96,119,-0.08078246242413917
54,82,-0.0807042539040434
64,83,-0.08069139403435399
62,72,-0.08066208973490091
44,48,-0.0806515350657831
