team_picks,opponent_picks,picked_hero,win,match_id,start_time,patch_id
"[76, 96, 16, 10, 8]","[53, 14, 97, 56, 46]",10,1,2896123620,1483631624,20
"[61, 5, 99, 44, 20]","[51, 104, 14, 59, 9]",44,1,2896396241,1483640604,20
"[104, 1, 14, 44, 29]","[18, 75, 114, 77, 53]",104,0,2906909376,1484052935,20
"[1, 36, 86, 74, 99]","[88, 48, 21, 11, 44]",1,1,2907121059,1484058632,20
"[99, 25, 21, 26, 76]","[87, 48, 23, 35, 18]",25,0,2912639661,1484306688,20
"[51, 110, 85, 66, 1]","[60, 50, 32, 8, 61]",66,0,2912770132,1484310706,20
"[94, 43, 104, 25, 64]","[42, 44, 2, 75, 93]",94,0,2913203151,1484322090,20
"[11, 67, 22, 9, 63]","[70, 71, 107, 97, 77]",11,1,2913310302,1484325175,20
"[85, 17, 106, 83, 90]","[44, 46, 58, 23, 42]",85,0,2913322220,1484325556,20
"[2, 14, 39, 114, 103]","[104, 56, 20, 106, 108]",103,1,2917262973,1484476456,20
"[30, 8, 51, 10, 60]","[93, 15, 99, 28, 19]",51,1,2922334302,1484684869,20
"[59, 41, 27, 45, 35]","[88, 46, 15, 32, 6]",41,1,2927690112,1484924391,20
"[70, 69, 46, 88, 105]","[29, 18, 96, 36, 54]",69,0,2929831088,1485007930,20
"[71, 6, 108, 30, 90]","[82, 61, 40, 74, 32]",90,1,2930094052,1485015009,20
"[8, 58, 62, 54, 97]","[32, 105, 70, 103, 71]",62,1,2931493592,1485074492,20
"[103, 46, 45, 62, 6]","[41, 47, 15, 49, 16]",62,0,2932179615,1485094494,20
"[43, 27, 8, 96, 4]","[1, 6, 22, 40, 109]",43,0,2938093008,1485355066,20
"[35, 8, 9, 18, 36]","[101, 22, 113, 63, 42]",9,0,3003399607,1487334506,21
"[96, 29, 95, 36, 42]","[84, 37, 18, 16, 35]",42,1,3003451184,1487335901,21
"[100, 1, 67, 47, 104]","[22, 64, 42, 32, 35]",104,0,3028045629,1488363045,21
"[95, 48, 54, 110, 16]","[65, 89, 71, 42, 52]",110,0,3028063558,1488363741,21
"[89, 11, 28, 9, 44]","[70, 39, 95, 85, 51]",89,0,3028088659,1488364686,21
"[44, 19, 41, 95, 71]","[93, 51, 111, 35, 48]",41,0,3031906155,1488536380,21
"[33, 44, 32, 80, 18]","[47, 10, 70, 113, 7]",18,1,3032064907,1488541825,21
"[86, 104, 42, 19, 85]","[70, 49, 28, 4, 22]",19,0,3034794288,1488642991,21
"[5, 99, 20, 6, 11]","[26, 68, 98, 36, 93]",20,1,3323465533,1500477847,25
"[17, 53, 6, 11, 32]","[8, 7, 26, 86, 98]",11,1,3323657637,1500485183,25
"[7, 32, 22, 96, 6]","[5, 3, 44, 75, 74]",22,1,3325940532,1500588806,25
